T,D,P
日本,일본,にほん
発表,발표,はっぴょう
死亡,사망,しぼう
今年,올해,ことし
政府,정부,せいふ
必要,필요,ひつよう
予定,예정,よてい
事故,사고,じこ
事件,사건,いべんと
時間,시간,じかん
病院,병원,びょういん
被害,피해,ひがい
億円,(몇)억 엔,おくえん
選手,선수,せんしゅ
万円,만엔,まんえん
今回,금번, 이번,こんかい
地震,지진,じしん
万人,만인,まんにん
関税,관세,かんぜい
今月,금월, 이달,こんげつ
今後,금후, 차후,こんご
逮捕,체포,たいほ
説明,설명,せつめい
韓国,한국,かんこく
地域,지역,ちいき
調査,조사,ちょうさ
家族,가족,かぞく
先月,지난달,せんげつ
映画,영화,えいが
値上,인상,ねあが(り), ねあげ
販売,판매,はんばい
新型,신형,しんがた
安全,안전,あんぜん
政権,정권,せいけん
日本人,일본인,にほんじん
石破総理大臣,이시바  총리대신,いしばそうりだいじん
危険,위험,きけん
価格,가격,かかく
専門家,전문가,せんもんか
支援,지원,しえん
上昇,상승,じょうしょう
計画,계획,けいかく
大統領,대통령,だいとうりょう
会社,회사,かいしゃ
中国,중국,ちゅうごく
警察,경찰,けいさつ
女性,여자,じょせい
男性,남자,だんせい
去年,작년,きょねん
影響,영향,えいきょう
理由,이유,りゆう
世界,세계,せかい
確認,확인,かくにん
東京,도쿄,とうきょう
問題,문제,もんだい
可能性,가능성,かのうせい
攻撃,공격,こうげき
一方,일방,いっぽう
場所,장소,ばしょ
発生,발생,はっせい
値段,가격,ねだん
仕事,업무,しごと
自分,자신,じぶん
場合,경우, 상황,ばあい
原因,원인,げんいん
試合,경기,しあい
情報,정보,じょうほう
内容,내용,ないよう
対応,대응,たいおう
記事,기사,きじ
結果,결과,けっか
一部,일부,いちぶ
建物,건물,たてもの
参加,참여,さんか
一緒,함께,いっしょ
学校,학교,がっこう
人気,인기,にんき
合意,합의,ごうい
日午前,(몇)일 오전,にちごぜん
大学,대학,だいがく
方針,방침,ほうしん
避難,피난,ひなん
大切,중요,たいせつ
日午後,(몇)일 오후,にちごご
現場,현장,げんば
飛行機,비행기,ひこうき
見通,전망,みとお(す), みとおし
現在,현재,げんざい
写真,사진,しゃしん
生活,생활,せいかつ
人以上,(몇)명 이상,にんいじょう
気象庁,기상청,きしょうちょう
年間,연간,ねんかん
指摘,지적,してき
判断,판단,はんだん
利用,이용,りよう
以上,이상,いじょう
状況,상황,じょうきょう
年前,작년,ねんまえ
相次,잇달아,あいつぐ
